"Kommun_code","Year","Kommun_name","Revenue","Index_market","Employee","Population","Population_University","Percent_University","CPI_index","Output","nation_Output","Productivity","AveOutput","AveEmployee","EmployeeIndex","SalesIndex","Infrast","Border","Laen_code","Patent"
1984,2007,"Arboga",238,63,136,13369,963,0.0720323135612237,290.51,81.924890709442,0.696518981133249,86.4856405341907,308.23254510413,442.532871972318,30.7321802771088,26.5789229627798,0,0,19,75
1984,2008,"Arboga",222,59,118,13301,991,0.0745056762649425,300.61,73.8498386613885,0.655862927670821,95.4233062956203,302.904279176747,461.840830449827,25.5499280748022,24.3805861251292,0,0,19,86
1984,2009,"Arboga",232,61,126,13302,1004,0.0754773718237859,299.66,77.4210772208503,0.636977460813184,96.463851802832,309.593086697796,486.034602076125,25.9240801913658,25.0073662970464,0,0,19,65
1984,2010,"Arboga",236,60,121,13285,1053,0.0792623259315017,303.46,77.7697225334476,0.657543944256305,97.7463156994326,319.814357911762,486.377162629758,24.8778127956859,24.317145434385,0,0,19,48
1984,2011,"Arboga",236,60,126,13302,1091,0.0820177416929785,311.43,75.7794689015188,0.625833625330461,96.0997191615724,313.059736607348,500.228373702422,25.1884952201763,24.2060731676155,0,0,19,31
1984,2012,"Arboga",225,57,120,13353,1139,0.0852991837040366,314.2,71.6104392106938,0.622144281832325,95.9188531527719,312.277680008987,501.937716262976,23.9073486833035,22.931654676259,0,0,19,32
2021,2001,"Vansbro",37,26,24,7219,255,0.0353234520016623,267.1,13.8524897042306,0.634960354278071,90.901277083016,229.66010682468,361.692041522491,6.63547914932698,6.03173528731546,0,0,20,48
2021,2002,"Vansbro",38,25,22,7235,264,0.0364892881824464,272.8,13.9296187683284,0.636571956102149,99.4647161880114,236.679215415682,371.80276816609,5.91711570855553,5.88544234603098,0,0,20,48
2021,2003,"Vansbro",35,23,19,7164,264,0.0368509212730318,278.1,12.5854009349155,0.62705343107484,105.635260101341,241.45679592987,385.065743944637,4.93422235002336,5.21227861342568,0,0,20,48
2021,2004,"Vansbro",36,22,23,7122,293,0.0411401291771974,279.2,12.8939828080229,0.628162204448897,89.245730514262,255.45552790474,406.671280276817,5.65567354162412,5.04744716772427,0,0,20,46
2021,2005,"Vansbro",37,21,23,7061,314,0.0444696218665911,280.4,13.1954350927247,0.675913280515742,84.8799077910021,272.266756832799,402.813148788927,5.70984340236915,4.84650981494156,0,0,20,36
2021,2006,"Vansbro",39,21,28,6983,322,0.0461119862523271,284.22,13.7217648300612,0.697889490517439,70.2207206590393,292.125915423478,418.584775086505,6.68920650403816,4.69720901350692,0,0,20,38
2021,2007,"Vansbro",41,21,32,6959,349,0.0501508837476649,290.51,14.1131114247358,0.696518981133249,63.3198439625325,308.23254510413,442.532871972318,7.23110124167266,4.57872202299987,0,0,20,38
2021,2008,"Vansbro",44,22,31,6916,342,0.0494505494505494,300.61,14.6369049599148,0.655862927670821,71.9903816168063,302.904279176747,461.840830449827,6.71226923999041,4.83218824101658,0,0,20,36
2021,2009,"Vansbro",44,22,32,6876,360,0.0523560209424084,299.66,14.683307748782,0.636977460813184,72.0360445036235,309.593086697796,486.034602076125,6.58389338193416,4.74277636668123,0,0,20,23
2021,2010,"Vansbro",47,23,34,6805,374,0.0549595885378398,303.46,15.4880379621696,0.657543944256305,69.2775794345305,319.814357911762,486.377162629758,6.9904597938291,4.84282133650886,0,0,20,39
2021,2011,"Vansbro",56,28,40,6818,379,0.0555881490173071,311.43,17.9815688918858,0.625833625330461,71.830468051277,313.059736607348,500.228373702422,7.99634768894484,5.74381397197654,0,0,20,35
2021,2012,"Vansbro",58,29,42,6779,376,0.055465407877268,314.2,18.4595798854233,0.622144281832325,70.6449966077558,312.277680008987,501.937716262976,8.36757203915621,5.91127098321343,0,0,20,19
2023,2001,"Malung",152,72,94,10640,441,0.0414473684210526,267.1,56.9075252714339,0.634960354278071,95.3444102354349,229.66010682468,361.692041522491,25.9889600015307,24.7790206397825,0,1,20,48
